sessionId,vis,reported,truth,error
wm248qtwibun8ow7z9o,Pie,70,72.65140333,1.473217162
wm248qtwibun8ow7z9o,Pie,60,38.68976489,4.421912336
wm248qtwibun8ow7z9o,Bar,40,37.82343897,1.202612699
wm248qtwibun8ow7z9o,Pie,80,91.3396151,3.519116015
wm248qtwibun8ow7z9o,Bar,90,86.4496255,1.87789126
wm248qtwibun8ow7z9o,Bar,30,35.62342761,2.523167385
wm248qtwibun8ow7z9o,Bar,20,72.32865658,5.712971442
wm248qtwibun8ow7z9o,Pie,50,43.68834212,2.686311788
wm248qtwibun8ow7z9o,Pie,50,49.00009873,0.1697983895
wm248qtwibun8ow7z9o,Bubble,90,79.46641515,3.413943998
wm248qtwibun8ow7z9o,Bubble,100,98.99139246,0.1809212625
wm248qtwibun8ow7z9o,Bubble,100,98.92809126,0.2593131586
wm248qtwibun8ow7z9o,Bar,30,35.22508379,2.419561486
wm248qtwibun8ow7z9o,Pie,25,28.56640565,1.884170283
wm248qtwibun8ow7z9o,Bar,90,96.01492639,2.618221359
wm248qtwibun8ow7z9o,Pie,50,50.2644453,0
wm248qtwibun8ow7z9o,Pie,30,33.97417004,2.035331835
wm248qtwibun8ow7z9o,Bubble,60,38.60517327,4.427594557
wm248qtwibun8ow7z9o,Bubble,85,62.44488311,4.503356171
wm248qtwibun8ow7z9o,Bubble,70,27.82202828,5.402687109
wm248qtwibun8ow7z9o,Bubble,100,92.85511451,2.86193264
wm248qtwibun8ow7z9o,Pie,100,87.37957585,3.67190748
wm248qtwibun8ow7z9o,Bar,60,56.0332762,2.032708763
wm248qtwibun8ow7z9o,Bubble,100,83.63872237,4.04319379
wm248qtwibun8ow7z9o,Pie,20,22.28405374,1.26846658
wm248qtwibun8ow7z9o,Bubble,90,55.79136865,5.101550549
wm248qtwibun8ow7z9o,Bar,33,35.593011,1.442551295
wm248qtwibun8ow7z9o,Bubble,60,20.20985946,5.318864186
wm248qtwibun8ow7z9o,Bubble,80,78.3156211,0.8554945493
wm248qtwibun8ow7z9o,Bubble,50,33.90950796,4.019300896
wm248qtwibun8ow7z9o,Pie,50,67.11051457,4.107312466
wm248qtwibun8ow7z9o,Bubble,100,82.62924471,4.128933042
wm248qtwibun8ow7z9o,Bar,25,21.9220288,1.679410827
wm248qtwibun8ow7z9o,Bar,70,78.28260211,3.071694396
wm248qtwibun8ow7z9o,Bar,30,34.24202322,2.126650203
wm248qtwibun8ow7z9o,Bar,80,79.85640342,0
wm248qtwibun8ow7z9o,Bubble,100,86.12066668,3.8078014
wm248qtwibun8ow7z9o,Bubble,90,85.75334624,2.128179142
wm248qtwibun8ow7z9o,Pie,30,37.113132,2.855617417
wm248qtwibun8ow7z9o,Bubble,90,77.48228486,3.660234424
